物件名,カテゴリー,住所,最寄駅0,最寄駅1,最寄駅2,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,3階,7.85万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,22.64m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,21.61m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,7.9万円,10000円,-,-,1K,21.61m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,7.9万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,7.9万円,10000円,-,-,1K,21.43m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,7.9万円,10000円,-,-,1K,21.43m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,6階,7.95万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,7階,7.95万円,10000円,-,-,1K,21.6m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,6階,7.95万円,10000円,-,-,1K,21.43m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,4階,8.5万円,10000円,-,-,1DK,24.36m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,5階,8.55万円,10000円,-,-,1DK,24.36m2
ＪＲ常磐線 亀有駅 8階建 新築,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩5分,京成金町線/京成金町駅 歩29分,成田スカイアクセス/青砥駅 歩31分,新築,8階建,7階,8.6万円,10000円,-,-,1DK,24.36m2
Westen Feld,賃貸マンション,東京都足立区一ツ家３,つくばエクスプレス/六町駅 歩13分,つくばエクスプレス/青井駅 歩19分,ＪＲ常磐線/綾瀬駅 バス15分 (バス停)青井六丁目 歩3分,築17年,4階建,4階,11万円,5000円,11万円,-,2LDK,48m2
東急東横線 中目黒駅 5階建 築6年,賃貸マンション,東京都目黒区中目黒１,東急東横線/中目黒駅 歩5分,東急東横線/代官山駅 歩8分,ＪＲ山手線/恵比寿駅 歩11分,築6年,5階建,3階,8.9万円,10000円,8.9万円,17.8万円,ワンルーム,20.25m2
東急東横線 中目黒駅 5階建 築6年,賃貸マンション,東京都目黒区中目黒１,東急東横線/中目黒駅 歩5分,東急東横線/代官山駅 歩8分,ＪＲ山手線/恵比寿駅 歩11分,築6年,5階建,3階,8.9万円,12000円,8.9万円,17.8万円,ワンルーム,20.25m2
東急東横線 中目黒駅 5階建 築6年,賃貸マンション,東京都目黒区中目黒１,東急東横線/中目黒駅 歩5分,東急東横線/代官山駅 歩8分,ＪＲ山手線/恵比寿駅 歩11分,築6年,5階建,4階,17.5万円,12000円,17.5万円,35万円,1LDK,40.5m2
東急東横線 中目黒駅 5階建 築6年,賃貸マンション,東京都目黒区中目黒１,東急東横線/中目黒駅 歩5分,東急東横線/代官山駅 歩8分,ＪＲ山手線/恵比寿駅 歩11分,築6年,5階建,4階,17.5万円,12000円,17.5万円,35万円,1LDK,40.5m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,3階,8.9万円,6000円,8.9万円,-,1K,22.6m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,3階,9万円,6000円,9万円,-,1K,23.1m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,9階,9.2万円,6000円,9.2万円,-,1K,23.1m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,3階,9.7万円,6000円,9.7万円,-,1K,22.6m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,9階,10.3万円,6000円,10.3万円,-,1K,23.1m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,3階,15万円,10000円,14.2万円,-,1LDK,40.17m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,9階,15.5万円,10000円,15.5万円,-,1LDK,40.17m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,9階,17万円,10000円,17万円,-,1LDK,44.99m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,9階,17万円,10000円,17万円,-,1LDK,40.17m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,10階,17.3万円,10000円,17.3万円,-,1LDK,44.99m2
バレーヌ新川,賃貸マンション,東京都中央区新川１,東京メトロ東西線/茅場町駅 歩5分,ＪＲ京葉線/八丁堀駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩10分,築16年,10階建,10階,18.9万円,10000円,18.9万円,-,1LDK,44.99m2
エクセル　エヌ・ケー,賃貸マンション,東京都豊島区南長崎４,都営大江戸線/落合南長崎駅 歩5分,西武池袋線/東長崎駅 歩10分,西武新宿線/中井駅 歩16分,築29年,4階建,3階,15.4万円,8000円,15.4万円,15.4万円,3LDK,68.75m2
ＪＲ総武線 両国駅 4階建 築1年,賃貸マンション,東京都墨田区両国４,ＪＲ総武線/両国駅 歩5分,都営大江戸線/両国駅 歩7分,都営大江戸線/森下駅 歩8分,築1年,4階建,2階,11.9万円,10000円,-,-,1LDK,30.96m2
ＪＲ総武線 両国駅 4階建 築1年,賃貸マンション,東京都墨田区両国４,ＪＲ総武線/両国駅 歩5分,都営大江戸線/両国駅 歩7分,都営大江戸線/森下駅 歩8分,築1年,4階建,3階,12万円,10000円,-,-,1LDK,30.96m2
ブランズ大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/大手町駅 歩8分,都営新宿線/小川町駅 歩6分,ＪＲ山手線/神田駅 歩9分,築4年,13階建,11階,15.8万円,7000円,15.8万円,15.8万円,1DK,32.8m2
ブランズ大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/大手町駅 歩8分,都営新宿線/小川町駅 歩6分,ＪＲ山手線/神田駅 歩9分,築4年,13階建,11階,15.8万円,7000円,15.8万円,15.8万円,1LDK,32.8m2
ブランズ大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/大手町駅 歩8分,都営新宿線/小川町駅 歩6分,ＪＲ山手線/神田駅 歩9分,築4年,13階建,11階,15.8万円,7000円,15.8万円,15.8万円,1LDK,32.8m2
ブランズ大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/大手町駅 歩8分,都営新宿線/小川町駅 歩6分,ＪＲ山手線/神田駅 歩9分,築4年,13階建,11階,17万円,7000円,17万円,17万円,1LDK,32.8m2
ブランズ大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/大手町駅 歩8分,都営新宿線/小川町駅 歩6分,ＪＲ山手線/神田駅 歩9分,築4年,13階建,11階,17万円,7000円,17万円,8.5万円,1LDK,32.8m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,11.9万円,6000円,-,11.9万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,11.9万円,6000円,-,11.9万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,11.9万円,6000円,-,11.9万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,11.9万円,6000円,-,11.9万円,1LDK,33.24m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,12万円,6000円,-,12万円,1LDK,36.95m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,12.2万円,6000円,-,12.2万円,1LDK,36.81m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,12.2万円,6000円,-,12.2万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,12.2万円,6000円,-,12.2万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,12.2万円,6000円,-,12.2万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,12.4万円,6000円,-,12.4万円,1LDK,36.81m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,12.4万円,6000円,-,12.4万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,12.4万円,6000円,-,12.4万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,12.4万円,6000円,-,12.4万円,1LDK,36.65m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,12.9万円,6000円,-,12.9万円,1LDK,37.75m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,13.1万円,6000円,-,13.1万円,1LDK,39.52m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,14万円,6000円,-,14万円,1LDK,42.68m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,14万円,6000円,-,14万円,1LDK,39.22m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,14.2万円,6000円,14.2万円,-,1LDK,42.68m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,14.2万円,6000円,-,14.2万円,1LDK,39.22m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,14.4万円,6000円,-,14.4万円,1LDK,42.68m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,14.4万円,6000円,-,14.4万円,1LDK,39.22m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,14.7万円,6000円,-,14.7万円,1LDK,42.77m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,14.7万円,6000円,-,14.7万円,1LDK,42.69m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,1階,14.9万円,6000円,-,14.9万円,1LDK,44.25m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,14.9万円,6000円,-,14.9万円,1LDK,42.69m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,14.9万円,6000円,-,14.9万円,1LDK,42.58m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,15.1万円,6000円,-,15.1万円,1LDK,42.86m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,15.1万円,6000円,-,15.1万円,1LDK,42.58m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,15.2万円,6000円,15.2万円,-,1LDK,44.25m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,15.3万円,6000円,-,15.3万円,1LDK,44.25m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,2階,16.2万円,6000円,-,16.2万円,1LDK,46.17m2
エクセリア上鷺宮II,賃貸アパート,東京都中野区上鷺宮３,西武池袋線/富士見台駅 歩6分,西武池袋線/中村橋駅 歩8分,,新築,3階建,3階,18.3万円,6000円,-,18.3万円,1LDK,51.52m2
レジディア御茶ノ水II,賃貸マンション,東京都千代田区外神田２,ＪＲ中央線/御茶ノ水駅 歩7分,ＪＲ山手線/秋葉原駅 歩7分,ＪＲ山手線/神田駅 歩13分,築8年,10階建,4階,13.5万円,10000円,13.5万円,13.5万円,1DK,30.27m2
レジディア御茶ノ水II,賃貸マンション,東京都千代田区外神田２,ＪＲ中央線/御茶ノ水駅 歩7分,ＪＲ山手線/秋葉原駅 歩7分,ＪＲ山手線/神田駅 歩13分,築8年,10階建,4階,13.8万円,10000円,13.8万円,13.8万円,1DK,30.27m2
レジディア御茶ノ水II,賃貸マンション,東京都千代田区外神田２,ＪＲ中央線/御茶ノ水駅 歩7分,ＪＲ山手線/秋葉原駅 歩7分,ＪＲ山手線/神田駅 歩13分,築8年,10階建,6階,18万円,15000円,18万円,18万円,2DK,41.14m2
レジディア御茶ノ水II,賃貸マンション,東京都千代田区外神田２,ＪＲ中央線/御茶ノ水駅 歩7分,ＪＲ山手線/秋葉原駅 歩7分,ＪＲ山手線/神田駅 歩13分,築8年,10階建,9階,22.6万円,15000円,22.6万円,22.6万円,2LDK,50.6m2
レジディア御茶ノ水II,賃貸マンション,東京都千代田区外神田２,ＪＲ中央線/御茶ノ水駅 歩7分,ＪＲ山手線/秋葉原駅 歩7分,ＪＲ山手線/神田駅 歩13分,築8年,10階建,9階,23万円,15000円,23万円,23万円,2LDK,50.6m2
レジディア御茶ノ水II,賃貸マンション,東京都千代田区外神田２,ＪＲ中央線/御茶ノ水駅 歩7分,ＪＲ山手線/秋葉原駅 歩7分,ＪＲ山手線/神田駅 歩13分,築8年,10階建,9階,23.6万円,15000円,23.6万円,23.6万円,2LDK,50.6m2
コンシェリア目黒　ＴＨＥ　ＲＥＳＩＤＥＮＣＥ,賃貸マンション,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩5分,東京メトロ日比谷線/恵比寿駅 歩19分,東急目黒線/不動前駅 歩19分,築6年,6階建,1階,12.5万円,18000円,-,-,1K,27m2
コンシェリア目黒　ＴＨＥ　ＲＥＳＩＤＥＮＣＥ,賃貸マンション,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩5分,東京メトロ日比谷線/恵比寿駅 歩19分,東急目黒線/不動前駅 歩19分,築6年,6階建,2階,12.6万円,18000円,-,-,1K,27m2
コンシェリア目黒　ＴＨＥ　ＲＥＳＩＤＥＮＣＥ,賃貸マンション,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩5分,東京メトロ日比谷線/恵比寿駅 歩19分,東急目黒線/不動前駅 歩19分,築6年,6階建,4階,13.8万円,12000円,-,-,1K,27m2
コンシェリア目黒　ＴＨＥ　ＲＥＳＩＤＥＮＣＥ,賃貸マンション,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩5分,東京メトロ日比谷線/恵比寿駅 歩19分,東急目黒線/不動前駅 歩19分,築6年,6階建,6階,25万円,18000円,-,25万円,2LDK,54m2
コンシェリア目黒　ＴＨＥ　ＲＥＳＩＤＥＮＣＥ,賃貸マンション,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩5分,東京メトロ日比谷線/恵比寿駅 歩19分,東急目黒線/不動前駅 歩19分,築6年,6階建,6階,25.7万円,18000円,-,25.7万円,2LDK,54m2
ＪＲ中央線 高円寺駅 4階建 築2年,賃貸マンション,東京都中野区大和町１,ＪＲ中央線/高円寺駅 歩7分,西武新宿線/野方駅 歩15分,東京メトロ丸ノ内線/新高円寺駅 歩21分,築2年,4階建,3階,15.2万円,-,-,-,1LDK,36.53m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,2階,12.5万円,10000円,12.5万円,12.5万円,1DK,25.2m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,2階,12.7万円,10000円,12.7万円,12.7万円,1DK,26.77m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,3階,12.8万円,10000円,12.8万円,12.8万円,1DK,25.2m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,4階,12.9万円,10000円,12.9万円,12.9万円,1DK,27.45m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,2階,12.7万円,12000円,12.7万円,12.7万円,1DK,26.77m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,5階,13万円,10000円,13万円,13万円,1DK,27.45m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,3階,12.8万円,12000円,12.8万円,12.8万円,1DK,26.77m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,6階,13.1万円,10000円,13.1万円,13.1万円,1DK,27.45m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,7階,13.3万円,10000円,13.3万円,13.3万円,1DK,27.45m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,7階,13.3万円,10000円,13.3万円,13.3万円,1DK,26.77m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,2階,13.8万円,12000円,13.8万円,13.8万円,1DK,30.09m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,3階,13.9万円,12000円,13.9万円,13.9万円,1DK,30.09m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,3階,13.9万円,12000円,13.9万円,13.9万円,1LDK,29.92m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,4階,14万円,12000円,14万円,14万円,1LDK,29.92m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,5階,14.1万円,12000円,14.1万円,14.1万円,1DK,30.09m2
イプセ目黒中町,賃貸マンション,東京都目黒区中町２,東急東横線/祐天寺駅 歩7分,東急東横線/学芸大学駅 歩10分,東京メトロ日比谷線/中目黒駅 歩17分,新築,7階建,5階,14.1万円,12000円,14.1万円,14.1万円,1LDK,29.92m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,4階,9万円,9000円,-,-,1K,23.1m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,4階,9万円,15000円,-,9万円,1K,22.4m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,4階,9.5万円,15000円,9.5万円,9.5万円,1K,23.1m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,6階,10.3万円,10000円,-,-,1K,25.61m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,1階,11万円,5000円,-,-,1K,25.61m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,3階,10.7万円,9000円,10.7万円,-,1K,26.8m2
パレステュディオ九段　北の丸,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩8分,東京メトロ有楽町線/市ケ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩10分,築19年,10階建,2階,10.8万円,10500円,-,10.8万円,1K,23.1m2
